X,Y,Z
-3.0,-2.0,14.240804672241211
-3.0,-1.979899525642395,14.166633605957031
-3.0,-1.95979905128479,14.092462539672852
-3.0,-1.9396984577178955,14.018291473388672
-3.0,-1.9195979833602905,13.944120407104492
-3.0,-1.8994975090026855,13.944120407104492
-3.0,-1.8793970346450806,13.869950294494629
-3.0,-1.859296441078186,13.79577922821045
-3.0,-1.839195966720581,13.79577922821045
-3.0,-1.819095492362976,13.72160816192627
-3.0,-1.798995018005371,13.64743709564209
-3.0,-1.7788944244384766,13.64743709564209
-3.0,-1.7587939500808716,13.573266983032227
-3.0,-1.7386934757232666,13.499095916748047
-3.0,-1.7185930013656616,13.499095916748047
-3.0,-1.698492407798767,13.424924850463867
-3.0,-1.678391933441162,13.350753784179688
-3.0,-1.6582914590835571,13.350753784179688
-3.0,-1.6381909847259521,13.276582717895508
-3.0,-1.6180905103683472,13.276582717895508
-3.0,-1.5979899168014526,13.202412605285645
-3.0,-1.5778894424438477,13.202412605285645
-3.0,-1.5577889680862427,13.128241539001465
-3.0,-1.5376884937286377,13.128241539001465
-3.0,-1.5175879001617432,13.054070472717285
-3.0,-1.4974874258041382,13.054070472717285
-3.0,-1.4773869514465332,13.054070472717285
-3.0,-1.4572864770889282,12.979899406433105
-3.0,-1.4371858835220337,12.979899406433105
-3.0,-1.4170854091644287,12.979899406433105
-3.0,-1.3969849348068237,12.905728340148926
-3.0,-1.3768844604492188,12.905728340148926
-3.0,-1.3567838668823242,12.831558227539062
-3.0,-1.3366833925247192,12.831558227539062
-3.0,-1.3165829181671143,12.831558227539062
-3.0,-1.2964824438095093,12.831558227539062
-3.0,-1.2763819694519043,12.757387161254883
-3.0,-1.2562813758850098,12.757387161254883
-3.0,-1.2361809015274048,12.757387161254883
-3.0,-1.2160804271697998,12.757387161254883
-3.0,-1.1959799528121948,12.683216094970703
-3.0,-1.1758793592453003,12.683216094970703
-3.0,-1.1557788848876953,12.683216094970703
-3.0,-1.1356784105300903,12.683216094970703
-3.0,-1.1155779361724854,12.683216094970703
-3.0,-1.0954773426055908,12.609045028686523
-3.0,-1.0753768682479858,12.609045028686523
-3.0,-1.0552763938903809,12.609045028686523
-3.0,-1.0351759195327759,12.609045028686523
-3.0,-1.015075445175171,12.609045028686523
-3.0,-0.9949749112129211,12.609045028686523
-3.0,-0.9748743772506714,6.378693580627441
-3.0,-0.9547739028930664,6.378693580627441
-3.0,-0.9346733689308167,6.30452299118042
-3.0,-0.9145728945732117,6.23035192489624
-3.0,-0.8944723606109619,6.23035192489624
-3.0,-0.8743718862533569,6.156181335449219
-3.0,-0.8542713522911072,6.156181335449219
-3.0,-0.8341708779335022,6.082010269165039
-3.0,-0.8140703439712524,6.082010269165039
-3.0,-0.7939698696136475,6.007839679718018
-3.0,-0.7738693356513977,6.007839679718018
-3.0,-0.7537688612937927,5.933668613433838
-3.0,-0.733668327331543,5.933668613433838
-3.0,-0.713567852973938,5.859497547149658
-3.0,-0.693467378616333,5.859497547149658
-3.0,-0.6733668446540833,5.859497547149658
-3.0,-0.6532663702964783,5.785326957702637
-3.0,-0.6331658363342285,5.785326957702637
-3.0,-0.6130653619766235,5.785326957702637
-3.0,-0.5929648280143738,5.711155891418457
-3.0,-0.5728643536567688,5.711155891418457
-3.0,-0.552763819694519,5.711155891418457
-3.0,-0.5326633453369141,5.6369853019714355
-3.0,-0.5125628113746643,5.6369853019714355
-3.0,-0.4924623370170593,5.6369853019714355
-3.0,-0.47236183285713196,5.6369853019714355
-3.0,-0.4522613286972046,5.562814235687256
-3.0,-0.4321608245372772,5.562814235687256
-3.0,-0.41206032037734985,5.562814235687256
-3.0,-0.3919598162174225,5.562814235687256
-3.0,-0.3718593120574951,5.562814235687256
-3.0,-0.35175880789756775,5.488643646240234
-3.0,-0.3316583037376404,5.488643646240234
-3.0,-0.311557799577713,5.488643646240234
-3.0,-0.29145729541778564,5.488643646240234
-3.0,-0.2713567912578583,5.488643646240234
-3.0,-0.2512562870979309,5.488643646240234
-3.0,-0.23115579783916473,5.488643646240234
-3.0,-0.21105529367923737,5.488643646240234
-3.0,-0.19095478951931,5.414472579956055
-3.0,-0.17085428535938263,5.414472579956055
-3.0,-0.15075379610061646,5.414472579956055
-3.0,-0.1306532919406891,5.414472579956055
-3.0,-0.11055278778076172,5.414472579956055
-3.0,-0.09045228362083435,5.414472579956055
-3.0,-0.07035177946090698,5.414472579956055
-3.0,-0.050251275300979614,5.414472579956055
-3.0,-0.030150774866342545,5.414472579956055
-3.0,-0.010050272569060326,5.414472579956055
-3.0,0.010050272569060326,5.414472579956055
-3.0,0.030150774866342545,5.414472579956055
-3.0,0.050251275300979614,5.414472579956055
-3.0,0.07035177946090698,5.414472579956055
-3.0,0.09045228362083435,5.414472579956055
-3.0,0.11055278778076172,5.414472579956055
-3.0,0.1306532919406891,5.414472579956055
-3.0,0.15075379610061646,5.414472579956055
-3.0,0.17085428535938263,5.488643646240234
-3.0,0.19095478951931,5.488643646240234
-3.0,0.21105529367923737,5.488643646240234
-3.0,0.23115579783916473,5.488643646240234
-3.0,0.2512562870979309,5.488643646240234
-3.0,0.2713567912578583,5.488643646240234
-3.0,0.29145729541778564,5.488643646240234
-3.0,0.311557799577713,5.488643646240234
-3.0,0.3316583037376404,5.488643646240234
-3.0,0.35175880789756775,5.562814235687256
-3.0,0.3718593120574951,5.562814235687256
-3.0,0.3919598162174225,5.562814235687256
-3.0,0.41206032037734985,5.562814235687256
-3.0,0.4321608245372772,5.562814235687256
-3.0,0.4522613286972046,5.6369853019714355
-3.0,0.47236183285713196,5.6369853019714355
-3.0,0.4924623370170593,5.6369853019714355
-3.0,0.5125628113746643,5.6369853019714355
-3.0,0.5326633453369141,5.711155891418457
-3.0,0.552763819694519,5.711155891418457
-3.0,0.5728643536567688,5.711155891418457
-3.0,0.5929648280143738,5.785326957702637
-3.0,0.6130653619766235,5.785326957702637
-3.0,0.6331658363342285,5.785326957702637
-3.0,0.6532663702964783,5.859497547149658
-3.0,0.6733668446540833,5.859497547149658
-3.0,0.693467378616333,5.859497547149658
-3.0,0.713567852973938,5.933668613433838
-3.0,0.733668327331543,5.933668613433838
-3.0,0.7537688612937927,5.933668613433838
-3.0,0.7738693356513977,6.007839679718018
-3.0,0.7939698696136475,6.007839679718018
-3.0,0.8140703439712524,6.082010269165039
-3.0,0.8341708779335022,6.082010269165039
-3.0,0.8542713522911072,6.156181335449219
-3.0,0.8743718862533569,6.156181335449219
-3.0,0.8944723606109619,6.23035192489624
-3.0,0.9145728945732117,6.23035192489624
-3.0,0.9346733689308167,6.30452299118042
-3.0,0.9547739028930664,6.378693580627441
-3.0,0.9748743772506714,6.378693580627441
-3.0,0.9949749112129211,6.452864646911621
-3.0,1.015075445175171,12.164020538330078
-3.0,1.0351759195327759,12.164020538330078
-3.0,1.0552763938903809,12.164020538330078
-3.0,1.0753768682479858,12.164020538330078
-3.0,1.0954773426055908,12.164020538330078
-3.0,1.1155779361724854,12.164020538330078
-3.0,1.1356784105300903,12.164020538330078
-3.0,1.1557788848876953,12.164020538330078
-3.0,1.1758793592453003,12.164020538330078
-3.0,1.1959799528121948,12.238190650939941
-3.0,1.2160804271697998,12.238190650939941
-3.0,1.2361809015274048,12.238190650939941
-3.0,1.2562813758850098,12.238190650939941
-3.0,1.2763819694519043,12.238190650939941
-3.0,1.2964824438095093,12.312361717224121
-3.0,1.3165829181671143,12.312361717224121
-3.0,1.3366833925247192,12.312361717224121
-3.0,1.3567838668823242,12.3865327835083
-3.0,1.3768844604492188,12.3865327835083
-3.0,1.3969849348068237,12.3865327835083
-3.0,1.4170854091644287,12.46070384979248
-3.0,1.4371858835220337,12.46070384979248
-3.0,1.4572864770889282,12.53487491607666
-3.0,1.4773869514465332,12.53487491607666
-3.0,1.4974874258041382,12.609045028686523
-3.0,1.5175879001617432,12.609045028686523
-3.0,1.5376884937286377,12.683216094970703
-3.0,1.5577889680862427,12.683216094970703
