X,Y,Z,V
-3.0,-2.0,14.760000228881836,-0.3946796655654907
-3.0,-1.9420289993286133,14.760000228881836,-0.47633349895477295
-3.0,-1.8840579986572266,14.760000228881836,-0.5524715185165405
-3.0,-1.8260869979858398,14.760000228881836,-0.6219456195831299
-3.0,-1.7681159973144531,14.760000228881836,-0.6840659379959106
-3.0,-1.7101448774337769,14.760000228881836,-0.7384459972381592
-3.0,-1.6521738767623901,14.760000228881836,-0.784294605255127
-3.0,-1.5942028760910034,14.760000228881836,-0.8205004930496216
-3.0,-1.5362318754196167,14.760000228881836,-0.8470037579536438
-3.0,-1.47826087474823,14.760000228881836,-0.8655903935432434
-3.0,-1.4202898740768433,14.760000228881836,-0.8792212605476379
-3.0,-1.3623188734054565,14.760000228881836,-0.8902993202209473
-3.0,-1.3043477535247803,14.760000228881836,-0.8994802832603455
-3.0,-1.2463767528533936,14.760000228881836,-0.9061827659606934
-3.0,-1.1884057521820068,14.760000228881836,-0.9100366234779358
-3.0,-1.1304347515106201,14.760000228881836,-0.9115210771560669
-3.0,-1.0724637508392334,14.760000228881836,-0.9115370512008667
-3.0,-1.0144927501678467,14.760000228881836,-0.9105801582336426
-3.0,-0.95652174949646,14.760000228881836,-0.9087347388267517
-3.0,-0.8985506892204285,14.760000228881836,-0.9062322378158569
-3.0,-0.8405796885490417,14.760000228881836,-0.9032500982284546
-3.0,-0.782608687877655,14.760000228881836,-0.8990487456321716
-3.0,-0.7246376276016235,14.760000228881836,-0.8921332359313965
-3.0,-0.6666666269302368,14.760000228881836,-0.8821049928665161
-3.0,-0.6086956262588501,14.760000228881836,-0.8700949549674988
-3.0,-0.5507246255874634,14.760000228881836,-0.854849100112915
-3.0,-0.4927535951137543,14.760000228881836,-0.8288350105285645
-3.0,-0.43478256464004517,14.760000228881836,-0.7818195819854736
-3.0,-0.37681156396865845,14.760000228881836,-0.7089097499847412
-3.0,-0.31884056329727173,14.760000228881836,-0.6135700941085815
-3.0,-0.2608695328235626,14.760000228881836,-0.5024747848510742
-3.0,-0.2028985172510147,14.760000228881836,-0.3800758123397827
-3.0,-0.1449275016784668,14.760000228881836,-0.24779582023620605
